DATE,PAYEMS
2020-01-01,152045
2020-02-01,152309
2020-03-01,150898
2020-04-01,130421
2020-05-01,133040
2020-06-01,137655
2020-07-01,139240
2020-08-01,140774
2020-09-01,141820
2020-10-01,142493
2020-11-01,142761
2020-12-01,142518
2021-01-01,142916
2021-02-01,143443
2021-03-01,144274
2021-04-01,144593
2021-05-01,145044
2021-06-01,145822
2021-07-01,146761
2021-08-01,147226
2021-09-01,147706
2021-10-01,148566
2021-11-01,149197
2021-12-01,149763
2022-01-01,150014
2022-02-01,150876
2022-03-01,151370
2022-04-01,151642
2022-05-01,151928
2022-06-01,152348
2022-07-01,153038
2022-08-01,153281
2022-09-01,153536
2022-10-01,153897
2022-11-01,154155
2022-12-01,154291
2023-01-01,154773
2023-02-01,155060
2023-03-01,155206
2023-04-01,155484
2023-05-01,155787
2023-06-01,156027
2023-07-01,156211
2023-08-01,156421
2023-09-01,156667
2023-10-01,156832
2023-11-01,157014
2023-12-01,157304
2024-01-01,157560
2024-02-01,157796
2024-03-01,158106
2024-04-01,158214
2024-05-01,158430
2024-06-01,158548
2024-07-01,158692
2024-08-01,158851
2024-09-01,159105
